actual,ae_persistence,ae_linear,ae_deep,ae_linear_mv,ae_deep_mv
130,2,4.22022,13.7586,5.07495,2.2313
130,8,9.15894,18.5898,9.95971,11.618
131,10,10.7503,15.5789,11.5581,10.8631
131,9,11.3769,14.4717,12.1906,15.5091
158,37,36.9848,38.1592,35.2328,33.0428
148,47,46.5315,49.0719,44.7554,54.7618
160,39,35.6482,39.7119,33.8404,40.649
166,34,31.7962,36.6534,29.9511,24.5172
166,40,36.9729,34.9609,35.0952,34.1839
172,33,30.1803,31.1717,28.3392,30.0986
195,8,6.605,2.76998,4.85175,36.3256
195,9,10.0516,6.9679,8.27828,13.0405
199,2,5.64064,6.41065,3.89529,1.89323
200,3,4.85356,1.03089,3.11466,3.45056
206,7,5.80924,1.75927,7.52103,0.0898068
205,7,3.22011,21.2432,4.97955,13.8826
111,32,36.1845,28.477,35.9232,24.8254
111,39,40.4771,36.6141,40.1921,39.8524
114,41,40.2554,41.7703,39.9505,36.8767
118,39,37.9364,36.8654,37.6249,32.2386
120,38,37.7129,35.575,37.4056,35.5775
123,34,34.1293,34.1634,33.8371,32.5452
143,16,16.5576,12.6604,16.272,7.56937
150,4,7.81302,1.14568,7.53915,6.48279
155,1,5.69189,0.776224,5.42022,2.44252
157,1,4.85487,4.23385,4.58667,0.611196
158,1,1.92845,12.2674,1.6493,4.99794
157,1,4.0663,17.1961,3.76553,7.04307
56,1,4.0479,11.7216,3.95682,11.0748
52,7,8.66498,19.1002,8.56204,15.02
53,6,8.37806,16.4176,8.26436,12.5289
55,9,11.3,20.871,11.1596,19.2177
64,1,3.70087,0.74214,3.55437,6.04344
62,2,5.40256,1.47561,5.26881,2.74125
57,8,10.7532,10.44,10.621,6.81515
59,5,10.4081,0.936822,10.2752,3.23055
59,11,16.2129,8.87068,16.0727,8.07968
64,13,15.386,10.3348,15.2475,10.6332
65,10,11.9236,13.8838,11.7985,7.87092
64,13,14.6299,16.6583,14.4938,13.4792
203,18,12.7824,13.5839,12.8326,12.9473
196,38,27.7262,37.2559,27.7529,32.3788
196,36,25.5229,34.6207,25.5406,32.1169
198,30,20.5647,27.5696,20.5921,21.7126
201,28,18.0726,17.8731,18.1012,16.8071
200,29,20.646,24.8369,20.6903,20.0172
221,10,1.40011,1.51913,1.41277,5.29031
234,6,13.4943,18.6859,13.4504,20.5011
232,4,11.1556,20.6335,11.1016,16.6778
228,3,5.05049,10.3638,4.98632,13.103
229,2,5.49337,2.69228,5.43202,9.4674
229,3,6.59757,11.9262,6.56757,9.52801
213,13,0.894358,1.74252,0.328396,5.24686
205,21,7.29857,13.3702,6.04496,13.1292
213,16,3.10956,8.85362,1.81577,10.2072
209,21,4.42621,14.8247,3.14704,9.86265
209,12,1.12042,2.11124,2.36089,2.90174
213,8,3.9521,0.549693,5.15422,3.09448
226,3,13.1744,5.28812,14.3823,10.087
